inventory_snapshot_id,event_ts,sku_id,fc_id,region,available_qty,allocated_qty,atp_qty
SNAP-INIT,2026-04-08T10:15:00Z,SKU-18420,FC-01,US-WEST,101,1,100
SNAP-FC-03-1031,2026-04-08T10:31:00Z,SKU-33991,FC-03,US-EAST,96,19,77
SNAP-OUT-FC-02,2026-04-08T10:40:00Z,SKU-54001,FC-02,US-CENTRAL,0,23,0
SNAP-INIT,2026-04-08T10:15:00Z,SKU-88012,FC-01,US-WEST,23,1,22
SNAP-INIT,2026-04-08T10:15:00Z,SKU-33991,FC-03,US-EAST,97,4,93
SNAP-INIT,2026-04-08T10:15:00Z,SKU-55219,FC-03,US-EAST,33,1,32
SNAP-INIT,2026-04-08T10:15:00Z,SKU-00983,FC-01,US-WEST,51,3,48
SNAP-INIT,2026-04-08T10:15:00Z,SKU-55219,FC-02,US-CENTRAL,45,10,35
SNAP-INIT,2026-04-08T10:15:00Z,SKU-24511,FC-02,US-CENTRAL,117,2,115
SNAP-FC-03-1023,2026-04-08T10:23:00Z,SKU-18420,FC-03,US-EAST,120,17,103
SNAP-INIT,2026-04-08T10:15:00Z,SKU-00983,FC-02,US-CENTRAL,109,8,101
SNAP-INIT,2026-04-08T10:15:00Z,SKU-54001,FC-01,US-WEST,47,3,44
SNAP-INIT,2026-04-08T10:15:00Z,SKU-24511,FC-01,US-WEST,74,0,74
SNAP-OUT-FC-03,2026-04-08T10:44:00Z,SKU-88012,FC-03,US-EAST,0,14,0
SNAP-FC-01-1035,2026-04-08T10:35:00Z,SKU-61770,FC-01,US-WEST,88,22,66
SNAP-FC-02-1014,2026-04-08T10:14:00Z,SKU-00983,FC-02,US-CENTRAL,109,12,97
SNAP-FC-03-1041,2026-04-08T10:41:00Z,SKU-77120,FC-03,US-EAST,65,9,56
SNAP-FC-01-1003,2026-04-08T10:03:00Z,SKU-88012,FC-01,US-WEST,19,14,5
SNAP-FC-03-1007,2026-04-08T10:07:00Z,SKU-54001,FC-03,US-EAST,112,10,102
SNAP-FC-01-1046,2026-04-08T10:46:00Z,SKU-24511,FC-01,US-WEST,83,13,70
SNAP-INIT,2026-04-08T10:15:00Z,SKU-61770,FC-01,US-WEST,84,9,75
SNAP-FC-02-1008,2026-04-08T10:08:00Z,SKU-54001,FC-02,US-CENTRAL,63,8,55
SNAP-INIT,2026-04-08T10:15:00Z,SKU-88012,FC-02,US-CENTRAL,109,6,103
SNAP-FC-02-0959,2026-04-08T09:59:00Z,SKU-33991,FC-02,US-CENTRAL,82,34,48
SNAP-FC-01-0959,2026-04-08T09:59:00Z,SKU-54001,FC-01,US-WEST,42,23,19
SNAP-INIT,2026-04-08T10:15:00Z,SKU-18420,FC-03,US-EAST,117,5,112
SNAP-FC-03-1015,2026-04-08T10:15:00Z,SKU-18420,FC-03,US-EAST,120,14,106
SNAP-INIT,2026-04-08T10:15:00Z,SKU-88012,FC-03,US-EAST,68,1,67
SNAP-INIT,2026-04-08T10:15:00Z,SKU-00983,FC-03,US-EAST,68,1,67
SNAP-INIT,2026-04-08T10:15:00Z,SKU-66402,FC-01,US-WEST,31,9,22
SNAP-INIT,2026-04-08T10:15:00Z,SKU-61770,FC-03,US-EAST,100,9,91
SNAP-INIT,2026-04-08T10:15:00Z,SKU-61770,FC-02,US-CENTRAL,39,3,36
SNAP-INIT,2026-04-08T10:15:00Z,SKU-33991,FC-01,US-WEST,106,8,98
SNAP-INIT,2026-04-08T10:15:00Z,SKU-18420,FC-02,US-CENTRAL,23,8,15
SNAP-FC-02-1021,2026-04-08T10:21:00Z,SKU-33991,FC-02,US-CENTRAL,78,29,49
SNAP-INIT,2026-04-08T10:15:00Z,SKU-54001,FC-02,US-CENTRAL,63,4,59
SNAP-FC-02-1044,2026-04-08T10:44:00Z,SKU-77120,FC-02,US-CENTRAL,73,7,66
SNAP-FC-01-1005,2026-04-08T10:05:00Z,SKU-77120,FC-01,US-WEST,31,14,17
SNAP-INIT,2026-04-08T10:15:00Z,SKU-55219,FC-01,US-WEST,23,4,19
SNAP-FC-01-1026,2026-04-08T10:26:00Z,SKU-18420,FC-01,US-WEST,109,10,99
SNAP-FC-03-1016,2026-04-08T10:16:00Z,SKU-00983,FC-03,US-EAST,68,9,59
SNAP-INIT,2026-04-08T10:15:00Z,SKU-54001,FC-03,US-EAST,90,4,86
SNAP-INIT,2026-04-08T10:15:00Z,SKU-77120,FC-03,US-EAST,65,5,60
SNAP-FC-02-1033,2026-04-08T10:33:00Z,SKU-66402,FC-02,US-CENTRAL,47,10,37
SNAP-FC-03-1000,2026-04-08T10:00:00Z,SKU-33991,FC-03,US-EAST,97,9,88
SNAP-INIT,2026-04-08T10:15:00Z,SKU-66402,FC-03,US-EAST,25,7,18
SNAP-INIT,2026-04-08T10:15:00Z,SKU-66402,FC-02,US-CENTRAL,55,0,55
SNAP-OUT-FC-01,2026-04-08T10:44:00Z,SKU-61770,FC-01,US-WEST,0,29,0
SNAP-INIT,2026-04-08T10:15:00Z,SKU-77120,FC-01,US-WEST,37,1,36
SNAP-FC-02-1057,2026-04-08T10:57:00Z,SKU-18420,FC-02,US-CENTRAL,23,14,9
SNAP-INIT,2026-04-08T10:15:00Z,SKU-33991,FC-02,US-CENTRAL,77,9,68
SNAP-INIT,2026-04-08T10:15:00Z,SKU-77120,FC-02,US-CENTRAL,73,3,70
SNAP-FC-03-1037,2026-04-08T10:37:00Z,SKU-66402,FC-03,US-EAST,55,28,27
SNAP-INIT,2026-04-08T10:15:00Z,SKU-24511,FC-03,US-EAST,88,1,87
SNAP-FC-02-1022,2026-04-08T10:22:00Z,SKU-33991,FC-02,US-CENTRAL,78,16,62
SNAP-FC-03-1039,2026-04-08T10:39:00Z,SKU-66402,FC-03,US-EAST,50,25,25
